Bohrspindel;Drill spindle
Bohrtisch;Drilling table
Drehzahlmesser;RPM meter
Drehzahlverstellung;Speed adjustment
Fußplatte;Base plate
Kühlmittelschlauch;Coolant hose
Feststellhebel;Lock lever
Kühlmittelpumpe;Coolant pump
Kurbel;Crank
Not-Aus;Emergency stop
Riemengetriebe;Belt drive
Säule;Column
Tiefenanschlag;Depth stop
Vorschub;Feed
Werkstückaufnahme;Workpiece holder
Elektromotor;Electric motor
Bohrfutter für Bohrer mit Längsnut;Drill chuck for drills with longitudinal slot
Bohrfutterschlüssel;Drill chuck key
Kegelsenker;Tapered countersink
Querlochsenker;Cross-slot countersink
Zahnkranzbohrfutter;Serrated collet chuck
Flachsenker;Flat countersink
Längsnut;Longitudinal groove
Schnellspannbohrfutter;Quick-release drill chuck
Fertigschneider;Finishing cutter
Vorschneider;Pre-cutter
Innengewinde;Internal thread
Mittelschneider;Center cutter
Ring;Ring
Gewindebohrer;Tap
Außengewinde;External thread
Gewinde;Thread
Gewindeschneidkopf;Thread cutting head
Gewindeschneidzeug;Thread cutting tool
Handkluppe;Hand tap
Kluppe;Tong
Ratschenhebel;Ratchet lever
Schneideisen;Tapping die
Gewindeschneider;Thread cutter
Schneidkopf;Cutting head
Ratsche;Ratchet
Gewindeschneidemaschine;Thread cutting machine
Gewindeschneidemaschine, handgeführt;Hand-held threading machine
Schnellwechsel-Schneidkopf;Quick-change cutting head
Flex;Flex
Trennschleifscheibe;Cutting disc
Farbcodierung der Schleifscheibe;Color coding of the grinding wheel
trennschleifen;Cutting
Umfangsgeschwindigkeit;Peripheral speed
Winkelschleifer;Angle grinder
abschälen;chipping
anfasen;Chamfering
Entgrater mit elektrischem Antrieb;Electric deburring tool
Handentgrater;Hand deburrer
Schälwerkzeug;Peeling tool
Innenrohrentgrater;Inner tube deburrer
Trenn- und Anfasgerät;Cutting and chamfering tool
Universalentgrater;Universal deburrer
entgraten;Deburring
Blech;Sheet metal
ausklinken;Notching
Ideale Schere;Ideal shears
Schere;Shears
beschneiden;Trimming
einschneiden;Cut
kreisschneiden;Circular cutting
lochschneiden;Punch
Gerade Schere;Straight shears
Handblechschere, elektrisch;Electric hand-held sheet metal shears
Lochschere;Hole shears
Handhebelschere;Hand-operated shears
Niederhalter;Hold-down device
Hebeltafelschere;Lever-type panel shears
Rollenblechschere;Roll-type sheet metal shears
Abschneiden;Cutting
Hohlschliff;Hollow grinding
Stauchen;Upsetting
Schneiden;Cutting
Schneidvorgang;Cutting process
Trennen;Cutting
Akku-Rohrschneider;Cordless pipe cutter
Rohr abschneiden;Cutting pipe
Rohrabschneider;Pipe cutter
Rundmesser;Circular blade
Schneidrad;Cutting wheel
Rohrschere;Pipe shears
Schneidkette;Cutting chain
Schneidring für Steinzeugrohre;Cutting ring for vitrified clay pipes
Biegefeder;Bending spring
Handrohrbiegegerät;Hand-held pipe bender
Zweihandbiegezange;Two-hand bending pliers
Freihandbiegen;Freehand bending
außen;external
Biegemaschine;Bending machine
Dreirollenbiegeaufsatz;Three-roll bending attachment
Rohrbiegemaschine, hydraulisch;Hydraulic pipe bender
Ratschenbiegezange;Ratchet bending pliers
Rohrbiegemaschine, elektrisch;Electric pipe bender
Biegesegment;Bending segment
Bogenlänge;Bend length
Achse, neutral;Axis, neutral
Bogenlänge, gestreckt;Bend length, stretched
gestaucht;compressed
Gegenhalter;Counterholder
gestreckt;stretched
Ausklinken;Notching
Bohrung;Bore
Fase;Chamfer
Flachstahlbiegeaufsatz;Flat steel bending attachment
Profil, gebogen;Profile, bent
Walzenbiegen;Roll bending
Biegekraft;Bending force
Blechkluppe;Sheet metal clamp
Kanten;Edges
Länge, gestreckt;Length, stretched
Holz- oder Kunststoffhammer;Wooden or plastic hammer
Quetschung;Crushing
Rissbildung;Cracking
Rückfederung;Springback
Werkstücklänge;Workpiece length
Biegebalken;Bending beam
Druckbalken;Compression beam
Biegewange;Bending side
Oberwange;Upper beam
Schwenkbiegemaschine;Swivel bending machine
Unterwange;Lower beam
Wange, beweglich;Side plate, movable
Schwenkbiegen;Swivel bending
Tisch;Table
Abkantpressen;Press brakes
Biegestempel;Bending punch
Gesenkbiegen;Die bending
Gesenkbiegepresse;Die-bending press
Oberbalken;Upper beam
Unterbalken;Lower beam
Einstecktiefe;Insertion depth
aufmuffen;Sleeve
Rundungsmaschine;Bending machine
Muffe;Sleeve
Muffenverbindung;Sleeve joint
Runden;Rounding
Rundhorn;Rounding horn
Aushalser;Flaring machine
Aushalser, elektrisch;Flared connector, electrical
Aushalsung;Flaring
Aushalswerkzeug;Flaring tool
Aufweitköpfe;Expanding heads
Aushalswerkzeug, elektrisch;Flaring tool, electric
Schälbohrer mit Anbohrspitze;Peeling drill with pilot bit
Muffenzange;Sleeve pliers
Aushalsung mit der Ratsche;Flaring with a ratchet
Aushalsung mit elektrischem Aushalswerkzeug;Flaring with an electric flaring tool
Aushalswerkzeug einführen;Insert the flaring tool
Einstecktiefe L;Insertion depth L
Zuschnittlänge;Cutting length
Mitte-Mitte-Maß;Center-to-center dimension
Wanddicke;Wall thickness
z-Maß;z-dimension
Flussmittel;Flux
Hammerlötkolben;Hammer soldering iron
Lötpaste;Solder paste
Lötzinn;Solder
Propan-Sauerstoff-Brenner;Propane-oxygen torch
Weichlot;Soft solder
Weichlöten;Soft soldering
Elektrolötkolben;Electric soldering iron
Lot, flüssig;Solder, liquid
Widerstandslötgerät, elektrisch;Electric resistance soldering unit
Lötspalt (erhitzt);Soldering gap (heated)
Lot;Solder
Acetylen kastanienbraun;Acetylene, maroon
Acetylen-Sauerstoff-Brenner;Acetylene-oxygen torch
Hartlot;Brazing
Hartlöten;Brazing
Kupferfittings;Copper fittings
Sicherungseinrichtung;Safety device
Reinigungsvlies;Cleaning pad
Widerstandslöten, elektrisch;Resistance brazing, electric
kalibrieren;Calibrate
Lötpaste auftragen;Apply solder paste
Rohr trennen;Cutting tubing
Rund- und Ringbürste;Round and ring brush
Anzünder;Igniter
Brennereinsatz;Burner insert
Brennersatz;Burner replacement
Handgriff;Handle
Schneideinsatz;Cutting insert
Schweißschirm;Welding shield
Acetylen-Gasflasche;Acetylene gas cylinder
Acetylenventil;Acetylene valve
Sauerstoff-Gasflasche;Oxygen cylinder
Gasschlauch;Gas hose
Sauerstoffventil;Oxygen valve
Schweißbrenner;Welding torch
Schweißdüse;Welding nozzle
Überwurfmutter;Union nut
Druckminderer für Acetylen;Pressure regulator for acetylene
Druckminderer für Sauerstoff;Oxygen regulator
Brenngasüberschuss;Excess fuel gas
Rechtsgewinde;Right-hand thread
Sauerstoffüberschuss;Oxygen excess
Schweißflamme;Welding flame
Linksgewinde;Left-hand thread
Bewegung, kreisförmig;Circular motion
Blech, dick;Thick sheet metal
Blech, dünn;Sheet metal, thin
Nachlinksschweißen;Back-to-left welding
Nachrechtsschweißen;Right-hand welding
Schweißstab;Welding rod
Pendelbewegung;Pendulum motion
Schweißnaht;Weld
Schweißöse;Welding eye
Brenner;Torch
abgeschälte Rohrende;Peeled pipe end
Aufschieben auf Heizmuffe;Sliding onto heating sleeve
Fügen der Rohrteile;Joining the pipe sections
Heizelement-Muffenschweißen;Heating element socket welding
Heizelement-Stumpfschweißen;Heating element butt welding
Heizmuffe;Heating sleeve
Heizstutzen;Heating nozzle
Heizdorn;Heating mandrel
Heizelement;Heating element
Schweißmaschine;Welding machine
Spiegelschweißen;Mirror welding
von Hand;by hand
fixieren;fix
einstecken;insert
Einstecktiefe einzeichnen;Mark insertion depth
Rohrende und Muffe reinigen;Clean the pipe end and socket
Heizwendelschweißen;Heated spiral welding
Materialzapfen sichtbar;Material plug visible
Schweißgerät anschließen;Connect the welding machine
Abdichten mit Klebstoff;Sealing with Adhesive
Adhäsion;Adhesion
Haftkraft, gut;Adhesive strength, good
Haftkraft, schlecht;Adhesive strength, poor
Klebstoff, hochviskos;High-viscosity adhesive
Klebstoff, niedrigviskos;Adhesive, low viscosity
Kontaktfläche, groß;Contact area, large
Kontaktfläche, klein;Contact area, small
Kohäsion;Cohesion
Klebstoff;Adhesive
Anpressen;Pressing
Flächen reinigen;Clean surfaces
Klebstoff auftragen;Apply adhesive
Klebstoffwulst entfernen;Remove excess adhesive
Loch schneiden;Cut a hole
Sattelstück;Saddle piece
Klebefläche markieren;Mark the bonding surface
Akku-Pressmaschine;Cordless crimping tool
Presshülsenverbindung;Press sleeve connection
unverpresst;Unpressed
Verpressen von Kupferrohr;Pressing copper tubing
Pressfittings;Press fittings
Presskontur;Pressing profile
Presszange;Pressing pliers
Sanitärrohr;Plumbing pipe
Solarrohr;Solar pipe
Gasrohr;Gas pipe
Akku-Aufweitwerkzeug;Cordless flaring tool
Akku-Schiebewerkzeug;Cordless sliding tool
Anwendungsbereich;Application
Aufweitwerkzeug;Expansion tool
Hülse über das Rohr schieben;Slide the sleeve over the pipe
Schiebehülse;Sliding sleeve
Schiebewerkzeug;Sliding tool
Außengewinde, kegelig;External thread, tapered
Krallring;Clamping ring
lösbar;detachable
Steckfitting;Push-fit fitting
unlösbar;non-detachable
Innengewinde, zylindrisch;Internal thread, cylindrical
O-Ring;O-ring
Signalring, Einsteckkontrolle;Signal ring, insertion control
Steckverbindung;Push-to-connect
Whitworth-Rohrgewinde;Whitworth pipe thread
Dichtring;Sealing ring
konisch dichtend;Tapered seal
Übergangsverschraubung;Adapter fitting
Verschraubung für Gewinderohr;Fitting for threaded pipe
Klemmring;Clamping ring
Klemmringverschraubung;Clamp ring fitting
Schneidring;Cutting ring
Schneidringverschraubung;Cutting ring fitting
Anschlussverschraubung;Connection fitting
Gewindeflansch;Threaded flange
Rohrkupplung;Pipe coupling
Lötflansch;Solder flange
Rohrmanschette;Pipe sleeve
Mutter;Nut
Schraube;Screw
Bit;Bit
Doppelmaulschlüssel;Adjustable wrench
Doppelringschlüssel;Double ring spanner
Ringmaulschlüssel;Ring spanner
Werkzeugkoffer für Schraubverbindungen;Tool kit for screw connections
Schraubendreher;Screwdrivers
Schraubendrehereinsatz;Screwdriver bit
Schraubenzieher;Screwdriver
Hakenschlüssel;Hook wrench
Kardangelenk;Universal joint
Knarre;Ratchet
Quergriff mit Gleitstück;Cross-handle with sliding piece
Rollgabelschlüssel;Adjustable wrench
Steckgriff mit Vierkant;Socket handle with square drive
Steckschlüssel;Socket wrench
Verlängerung;Extension
Akku-Bohrschrauber;Cordless drill/driver
Drehmomentschlüssel;Torque wrench
Unterlegscheibe;Washer
Schraubenkopf;Screw head
Flankenwinkel;Flank angle
ISO-Gewinde, metrisch;ISO thread, metric
Nenndurchmesser;Nominal diameter
Schraubenverbindung;Screw connection
Sechskantschraube;Hex head screw
Steigung;Pitch
Vierkantschraube;Square-head screw
Whitworth-Gewinde;Whitworth thread
Zylinderschraube;Cylinder head screw
Schlitz;Slotted
Kreuzschlitz;Phillips
Linsensenkschraube;Pan-head screw
Torq-Set-Schraubenkopf;Torq-Set screw head
Inbusschraube;Allen screw
Phillips PH;Phillips PH
Pozidriv PZ;Pozidriv PZ
Senkschraube;Countersunk screw
Torx;Torx
Tri-wings-Schraubenkopf;Tri-wing screw head
Zylinderschraube mit Innensechskant;Hex socket head cap screw
Blechschraube;Self-tapping screw
Bohrschraube;Self-tapping screw
Dehnschraube;Expansion screw
Gewindestift;Threaded pin
Hammerkopfschraube;Hammer head screw
Hammerschraube;Hammer screw
Passschraube;Set screw
Holzschraube;Wood screw
Spanplattenschraube;Particleboard screw
Spax-Schraube;Spax screw
Stiftschraube;Stud screw
Stockschraube;Hanger bolt
Festigkeitsklasse;Strength class
Hutmutter;Cap nut
Kerbe;Notch
Kronenmutter;Crown nut
Nutmutter;Grooved nut
Pfeil;Arrow
Sechskantmutter;Hex nut
Zweilochmutter;Two-hole nut
Drahtsicherung;Wire lock
Klebstoffsicherung;Adhesive lock
Mutter mit Klemmteil;Nut with clamping piece
Palmutter;Palm nut
Sicherungsblech;Retaining plate
Sperrzahnschraube;Locking screw
Kontermutter;Lock nut
Sicherungsblech mit Innennase;Lock plate with internal tab
Sicherungsmutter;Lock nut
Fächerscheibe;Fan-shaped washer
Federring;Spring washer
Federscheibe;Spring washer
Mutter mit Kunststoffeinsatz, selbstsichernd;Nut with plastic insert, self-locking
Kronenmutter mit Splint;Crown nut with split pin
Sicherungsscheibenpaar;Pair of lock washers
Spannscheibe;Clamping washer
Splint;Circlip
Zahnscheibe;Toothed washer
Flachmeißel mit Handschutz;Flat chisel with hand guard
Eck-Rohrzange;Corner pipe wrench
Fäustel;Mallet
Holzhammer;Wooden mallet
Rohrzange;Pipe wrench
Schlosserhammer;Locksmith's hammer
Schlosserhammer mit Schutzhülse;Locksmith's hammer with protective sleeve
Spitzmeißel;Pointed chisel
Wasserpumpenzange;Water pump pliers
Kombizange;Combination pliers
Gipsplatte;Gypsum board
Gipsplatte für Feuchträume;Drywall for wet areas
Gipsplatte, faserverstärkt;Fiber-reinforced gypsum board
Kalksandstein;Calcium silicate brick
Lochziegel;Perforated brick
Normalbetonstein;Standard concrete block
Porenbetonstein;Aerated concrete block
Spanplatte;Particleboard
Vollziegel;Solid brick
Aufhängung;Mounting
Dübel für Gipsplatten;Anchors for drywall
Metalldübel für Gipskarton;Metal anchors for drywall
Metalldübel;Metal anchors
Nageldübel;Nail anchors
Rohrbefestigung als Unterstützung;Pipe fastening as support
Spreizdübel;Expansion anchors
Universaldübel;Universal anchors
Wandbefestigung;Wall fastening
Deckennagel;Ceiling nails
Federklappdübel;Spring-loaded anchor
Gasbetondübel;Aerated concrete anchor
Hohlraumdübel;Cavity wall anchors
Metall-Gasbetondübel;Metal aerated concrete anchor
Kippdübel;Tilting anchor
Messingdübel;Brass anchors
Metall-Hohlraumdübel;Metal cavity wall anchors
Porenbetondübel;Aerated concrete anchors
Spreizkeil;Expansion wedge
Stift;Pin
Ankerbolzen;Anchor bolt
Einschlaganker;Hammer-in anchor
Gewindestange;Threaded rod
Glaspatrone mit Verbundmörtel;Glass cartridge with composite mortar
Schwerlastanker;Heavy-duty anchor
Zykonanker;Zykon anchor
Injektionsanker;Injection anchor
Injektionsmörtel;Injection mortar
Reaktionsanker;Reaction anchor
Siebhülse;Screen sleeve
Verbundanker;Composite anchor
Bohrtiefe;Drilling depth
Formschluss;Form fit
Kraftschluss;Friction fit
Stoffschluss;Friction fit
Nutzlänge;Effective length
Verankerungstiefe;Anchoring depth
Abstandsmontage;Spaced installation
Durchsteckmontage;Through-hole mounting
Rohrschelle, einteilig;Pipe clamp, one-piece
Schalldämmeinlage;Sound insulation insert
Vorsteckmontage;Pre-insertion installation
Schnellverschluss;Quick-release fastener
Spannschraube;Tension screw
Kunststoffschelle;Plastic clamp
Massivrohrschelle;Solid pipe clamp
Rohrschelle mit Mehrfach-Gewindeanschluss;Pipe clamp with multi-threaded connection
Rohrschelle, zweiteilig;Two-piece pipe clamp
Schelle für Kunststoffrohre mit Distanzhalter;Clamp for plastic pipes with spacer
Rohrschelle mit Druckverschluss;Pipe clamp with snap-on closure
Aufhängung mit Lochband;Suspension with perforated strip
Auslegerkonsole;Bracket
Einschlagnagel;Drive-in nail
Fußbodenbefestigung mit Lochband;Floor mounting with perforated strip
Setzeisen;Shim
Winkelkonsole;Angle bracket
Montageschiene;Mounting rail
lehren;Gauges
Lehren;Gauges
messen;measure
Gliedermaßstab;Folding ruler
Rollbandmaß;Tape measure
Stahllineal;Steel ruler
Stahlmaßstab;Steel ruler
Ultraschall-Entfernungsmessung;Ultrasonic distance measurement
Zollstock;Folding ruler
Feststelleinrichtung;Locking mechanism
Messfläche;Measuring surface
Messschieber;Caliper
Nonius;Vernier
Schieber;Slider
Ableseübung, Nonius;Reading exercise, vernier
Ablesewert;Reading
Außenmessung mit dem Messschieber;External measurement with the vernier caliper
Innenmessung mit dem Messschieber;Internal measurement with a vernier caliper
Messschieber, Tiefenmessung;Caliper, depth measurement
Messschieber mit Digitalanzeige;Vernier caliper with digital display
Messschieber mit Rundskala und Zeiger;Vernier caliper with circular scale and pointer
Kippfehler;Tilt error
Maßbezugstemperatur;Reference temperature
Messkraft;Measuring force
Messschiebertemperatur: 20℃;Caliper temperature: 20°C
Parallaxe;Parallax
Werkstücktemperatur;Workpiece temperature
Innentaster;Internal probe
Winkelmesser mit digitaler Anzeige;Protractor with digital display
Set Taster;Probe set
Winkelmesser, einfach;Angle gauge, simple
Anschlagwinkel;Stop angle
Kalibrierdorn;Calibration mandrel
Kalibrierring;Calibration ring
Flachwinkel;Flat angle
Schenkel;Leg
Winkellehre 90°;90° angle gauge
Gefällewasserwaage;Slope level
Schlauchwasserwaage;Hose level
Laser;Laser
Libelle;Spirit level
Wasserwaage;Spirit level
Temperaturmessgerät;Thermometer
Luftdruckmessgerät;Air pressure gauge
Manometer;Pressure gauge
Thermometer;Thermometer
Dichte;Density
Elastizität;Elasticity
Giftigkeit;Toxicity
Belastung;Load
vor Belastung;Before loading
Werkstoff Stahl;Material: Steel
Plastizität;Plasticity
Wärmeausdehnung;Thermal expansion
Gießbarkeit;Castability
Härte;Hardness
Korrosionsbeständigkeit;Corrosion resistance
Umformbarkeit;Formability
Wärmeleitfähigkeit;Thermal conductivity
Zerspanbarkeit;Machinability
Zugfestigkeit;Tensile strength
fest;solid
flüssig;liquid
gasförmig;gaseous
Bindungskräfte, gering;Bonding forces, low
Bindungskräfte, groß;Bonding forces, high
Molekülgitter;Molecular lattice
Metall;Metal
Molekülbewegung, frei;Molecular motion, free
Wasser;Water
Abscherung;Shear
Druck;Compression
Biegung;Bending
Knickung;Buckling
Schub;Shear
Torsion;Torsion
Verdrehung;Twisting
Zug;Tension
Baustahl, allgemein;Reinforcing steel, general
Betonstahlmatte;Reinforcing steel mesh
Einsatzstahl;Case-hardened steel
Herstellungsmerkmal;Manufacturing characteristic
Kohlenstoffgehalt;Carbon content
Legierungsbestandteil;Alloying element
Nachbehandlung;Post-treatment
Zahnrad;Gear
Automatenstahl;Free-cutting steel
Federstahl;Spring steel
Vergütungsstahl;Quenched and tempered steel
Kurbelwelle;Crankshaft
Nitrierstahl;Nitriding steel
Nockenwelle;Camshaft
Schraubenfeder;Coil spring
Welle;Shaft
Hammerkopf;Hammer head
Kaltarbeitsstahl;Cold-work steel
Fräser;Milling cutter
HSS;HSS
Werkzeugstahl, hochlegiert;High-alloy tool steel
Werkzeugstahl, unlegiert;Tool steel, unalloyed
Metallsägeblatt;Metal saw blade
Nirosta;Stainless steel
Schnellarbeitsstahl;High-speed steel
Stahl, hochlegiert nichtrostend;High-alloy stainless steel
Trinkwasserrohr;Drinking water pipe
Warmarbeitsstahl;Hot-work steel
Werkzeugstahl, niedriglegiert;Tool steel, low-alloy
Antriebsnabe;Drive hub
Fitting;Fitting
Gewindepassstück;Threaded adapter
Grauguss;Grey cast iron
Gussrohr;Cast pipe
Gusseisen mit Lamellengrafit;Ductile iron
Lamellengrafit;Lamellar graphite
Mahlkegel;Grinding cone
Stahlguss;Cast steel
Temperguss;Ductile iron
Turbinenrad;Turbine wheel
Pumpengehäuse;Pump housing
Aluminiumknetlegierung;Wrought aluminum alloy
Aluminiumrohr;Aluminum tube
Gusseisen mit Kugelgrafit;Ductile iron
Kugelgrafit;Spheroidal graphite
Kugelgrafitguss;Spheroidal graphite cast iron
Aluminiumprofil;Aluminum profile
Aluminium;Aluminum
Ölpumpe;Oil pump
Aluminiumbeschichtung;Aluminum coating
Aluminium-Magnesium-Gusslegierung;Aluminum-magnesium casting alloy
Aluminium-Silizium-Gusslegierung;Aluminum-silicon casting alloy
Gehäuse;Housing
Kraftfahrzeugfelge;Automotive wheel
Kraftfahrzeugmotorblock;Automotive engine block
Magnesium;Magnesium
Magnesiumgusslegierung;Magnesium casting alloy
Opferanode im Warmwasserspeicher;Sacrificial anode in a hot water tank
Aluminiumoxid;Aluminum oxide
Flugzeugteil;Aircraft part
HSS-Stahlbohrer;HSS steel drill bit
Regenfallrohr;Rainwater downspout
Titan;Titanium
Titanbeschichtung;Titanium coating
Titanlegierung;Titanium alloy
Titannitrid;Titanium nitride
Titanzink;Titanium-zinc
innen verzinnt;tinned on the inside
Zinnlot;Tin solder
Kupferpassstück;Copper fitting
Weißblech;Tinplate
Zinn;Tin
Zinnüberzug;Tin coating
Kupferblech;Copper sheet
Armaturengehäuse;Fitting housing
Bronze;Bronze
Kupfer-Gusslegierung;Cast copper alloy
Kupfer-Knetlegierung;Wrought copper alloy
Kupfer-Zinnlegierung;Copper-tin alloy
Gleitlagerbuchse;Sleeve bearing
Kupfer-Zinklegierung;Copper-zinc alloy
Kupfer-Zinn-Zink-Legierung;Copper-tin-zinc alloy
Rotguss;Red brass
Zinkbad;Zinc bath
Zink;Zinc
Messing;Brass
Stahl,verzinkt;Galvanized steel
Schrägsitzventil;Angle seat valve
Blei;Lead
Bleilegierung;Lead alloy
Chrom;Chrome
Auslaufarmatur;Discharge fitting
Transportbehälter;Transport container
Titanzinkblech;Titanium-zinc sheet
PVC-U;PVC-U
PVC-U-Rohr;PVC-U pipe
warm umformbar;Hot-formable
